model,experiment_id,task_type,throughput_tps,latency_s,latency_per_token_ms,ttft_s,token_count,cpu_percent_avg,cpu_percent_peak,mem_used_avg_mb,mem_used_peak_mb,gpu_util_avg,gpu_util_peak,gpu_mem_avg_mb,gpu_mem_peak_mb,gpu_power_avg_w,gpu_power_peak_w,gpu_energy_j,gpu_temp_avg_c,cpu_energy_j,response_length,avg_response_length,temperature,max_tokens,norm_throughput,norm_latency,norm_energy,norm_gpu_util,efficiency_score,norm_quality,qe_ratio
gemma_4b_ol_q4km,exp_20260303_171427_2801312650912,qa,46.60898898217358,4.291017770767212,21.45508885383606,0.8863375186920166,200,10.704761904761906,24.3,11607.268787202382,11641.75,67.42857142857143,100,4032.6171875,4032.6171875,59.26533333333333,82.51,256.5099049224853,73.19047619047619,21.706545372605326,905,905.0,0.0,200,0.7102275254838675,0.9630506482160874,0.7911796443110903,0.6441179303818628,0.8103600979517004,0.5956375838926175,3.033649975174268
gemma_4b_ol_q4km,exp_20260303_171434_2801312650912,qa,46.46939360784148,4.303908109664917,21.519540548324585,0.9225108623504639,200,10.057142857142857,19.0,11621.057291666666,11624.87890625,64.47619047619048,100,4032.6171875,4032.6171875,58.04833333333334,86.371,258.00304693210126,72.61904761904762,20.314463798403743,957,957.0,0.0,200,0.7077023137460076,0.9626997701965082,0.7894863794466658,0.5903268477541613,0.8087367703913553,0.639261744966443,3.2259332528297837
gemma_4b_ol_q4km,exp_20260303_171440_2801312650912,qa,49.84804618299475,6.018290042877197,20.060966809590656,1.070566177368164,300,10.548275862068966,21.2,11603.229660560344,11630.27734375,58.310344827586206,83,4032.6171875,4032.6171875,66.41620689655173,83.472,404.34038413739205,73.20689655172414,29.422966743707665,1375,1375.0,0.0,300,0.7688204788839891,0.9160338956759421,0.6235357398910251,0.4779878514988668,0.7693990822236858,0.9899328859060402,4.1559811789067
gemma_4b_ol_q4km,exp_20260303_171449_2801312650912,qa,46.46687873998581,4.304141044616699,21.520705223083496,0.89035964012146,200,9.928571428571429,23.9,11596.78013392857,11615.296875,61.95238095238095,92,4032.6171875,4032.6171875,60.80142857142858,82.914,263.2406986509562,72.47619047619048,20.070909574627876,945,945.0,0.0,200,0.7076568210220638,0.9626934296530034,0.7835467356816962,0.5443441480885453,0.8069347780092354,0.6291946308724832,3.1477306877371336
gemma_4b_ol_q4km,exp_20260303_171455_2801312650912,reasoning,55.76627608037852,9.037720203399658,17.931984530554878,0.92368483543396,504,16.320930232558144,32.8,11651.963571947674,11684.6015625,69.88372093023256,100,4032.6171875,4032.6171875,69.40806976744184,99.848,636.9637285810709,74.13953488372093,67.86685644507408,800,800.0,0.1,600,0.7970231670768577,0.900005822904051,0.6644249084109917,0.6584986881988842,0.788138486225256,0.7580174927113703,3.461697703420244
gemma_4b_ol_q4km,exp_20260303_171507_2801312650912,reasoning,45.78496746806097,4.149833679199219,21.841229890522204,0.8523132801055908,190,13.984999999999996,75.0,11631.9923828125,11653.734375,56.15,81,4032.6171875,4032.6171875,62.443200000000004,83.137,261.55831156265737,73.0,23.81214480400085,303,303.0,0.1,320,0.6332911343779062,0.9645409067005131,0.8690022519752225,0.43608590204975745,0.8033794013538831,0.2750242954324587,1.3794573111300743
gemma_4b_ol_q4km,exp_20260303_171513_2801312650912,reasoning,44.10003574851073,4.126980781555176,22.675718579973495,0.9702358245849609,182,12.905000000000001,25.2,11651.6068359375,11665.66015625,53.3,84,4032.6171875,4032.6171875,58.71125000000001,82.481,243.04585876357555,71.95,25.269304273724554,294,294.0,0.1,400,0.6056517429798233,0.9648426349949709,0.8790906210951295,0.38993115318416516,0.7954406740189595,0.2662779397473275,1.2876529066452265
gemma_4b_ol_q4km,exp_20260303_171519_2801312650912,reasoning,19.44186714857547,1.9545447826385498,51.435389016803946,0.8625802993774414,38,8.879999999999999,13.3,11672.43046875,11675.4375,36.2,100,4032.6171875,4032.6171875,30.8303,83.035,61.86299854278565,68.0,8.464604569673538,51,51.0,0.1,320,0.20116248968506556,0.9935254488324851,0.9778262987465803,0.11300265999061185,0.6718705201477457,0.03012633624878523,0.11867151088487887
gemma_4b_ol_q4km,exp_20260303_171523_2801312650912,reasoning,54.772099320579414,7.302988290786743,18.257470726966858,0.9231839179992676,400,16.95142857142857,29.1,11642.843191964286,11680.9375,64.4,83,4032.6171875,4032.6171875,67.05254285714285,82.5,500.84424700820443,72.8,56.45042431890964,599,599.0,0.1,400,0.780714826350564,0.9229096012120354,0.7386032784747125,0.5696917540291035,0.8107397944462499,0.5626822157434402,2.874042080564652
gemma_4b_ol_q4km,exp_20260303_171533_2801312650912,summary,24.428608242126376,2.1695873737335205,40.935610825160765,0.9535512924194336,53,7.9363636363636365,14.5,11646.371803977272,11656.45703125,30.90909090909091,86,4032.6171875,4032.6171875,35.92609090909091,81.043,81.10935653948785,68.9090909090909,8.441539546251297,89,89.0,0.7,250,0.4039641923974571,0.9561460964565263,0.9080763878352656,0.35559131134352373,0.7208524222465204,0.12714285714285714,0.47430055685882966
